field,rating,title,sjr
01.Computer Science,최우수,Foundations and Trends in Machine Learning,13.78
01.Computer Science,최우수,Advances in Computers,9.31
01.Computer Science,최우수,IEEE Journal on Selected Areas in Communications,7.66
01.Computer Science,최우수,Nature Biomedical Engineering,6.63
01.Computer Science,최우수,Science Robotics,6.48
01.Computer Science,최우수,Nature Machine Intelligence,6.21
01.Computer Science,최우수,IEEE Transactions on Evolutionary Computation,5.77
01.Computer Science,최우수,Proceedings of the IEEE,5.56
01.Computer Science,최우수,IEEE Transactions on Cybernetics,5.37
01.Computer Science,최우수,IEEE Communications Magazine,5.29
01.Computer Science,최우수,IEEE Transactions on Smart Grid,5.12
01.Computer Science,최우수,Journal of Service Research,4.98
01.Computer Science,최우수,International Journal of Information Management,4.91
01.Computer Science,최우수,Information Fusion,4.76
01.Computer Science,최우수,ACM Computing Surveys,4.46
01.Computer Science,최우수,IEEE Transactions on Pattern Analysis and Machine Intelligence,4.45
01.Computer Science,최우수,IEEE Network,4.27
01.Computer Science,최우수,Journal of Strategic Information Systems,4.01
01.Computer Science,최우수,IEEE Transactions on Industrial Informatics,4.0
01.Computer Science,최우수,IEEE Signal Processing Magazine,3.94
01.Computer Science,최우수,Synthesis Lectures on Artificial Intelligence and Machine Learning,3.89
01.Computer Science,최우수,IEEE Internet of Things Journal,3.75
01.Computer Science,최우수,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",3.7
01.Computer Science,최우수,Computers and Education,3.68
01.Computer Science,최우수,IEEE Transactions on Fuzzy Systems,3.53
01.Computer Science,최우수,IEEE Transactions on Neural Networks and Learning Systems,3.45
01.Computer Science,최우수,Foundations and Trends in Communications and Information Theory,3.42
01.Computer Science,최우수,International Journal of Computer Vision,3.37
01.Computer Science,최우수,ISPRS Journal of Photogrammetry and Remote Sensing,3.31
01.Computer Science,최우수,npj Quantum Information,3.31
01.Computer Science,최우수,npj Computational Materials,2.98
01.Computer Science,최우수,Wiley Interdisciplinary Reviews: Computational Molecular Science,2.89
01.Computer Science,최우수,International Journal of Robotics Research,2.73
01.Computer Science,최우수,IEEE Transactions on Robotics,2.72
01.Computer Science,최우수,Computer Science Review,2.69
01.Computer Science,최우수,IEEE Transactions on Information Forensics and Security,2.65
01.Computer Science,최우수,IEEE Computational Intelligence Magazine,2.44
01.Computer Science,최우수,IEEE Transactions on Image Processing,2.36
01.Computer Science,최우수,Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,2.33
01.Computer Science,최우수,International Journal of Computer-Supported Collaborative Learning,2.16
